City,Date,PM2.5,PM10,Nox,CO2,SO2,O3,AQI
Bengaluru,01-01-2015,,,17.33,179.93,3.54,10.73,
Bengaluru,02-01-2015,,,19.73,250.51,3.97,22.77,
Bengaluru,03-01-2015,,,19.88,404.98,13.61,12.03,
Bengaluru,04-01-2015,,,21.61,43.57,6.52,17.7,
Bengaluru,05-01-2015,,,22.17,79.51,4.71,12.72,
Bengaluru,06-01-2015,,,23.2,27.83,4.42,13.82,
Bengaluru,07-01-2015,,,28.66,337.87,5.13,16.98,
Bengaluru,08-01-2015,,,31.1,57.86,7.07,17.35,
Bengaluru,09-01-2015,,,25.98,131.56,12.84,16.27,
Bengaluru,10-01-2015,,,29.23,78.15,3.08,25.01,
Bengaluru,11-01-2015,,,29.84,180.67,8.2,16.07,
Bengaluru,12-01-2015,,,28.4,142.43,7.16,16.41,
Bengaluru,13-01-2015,,,30.56,269.06,6.51,10.34,
Bengaluru,14-01-2015,,,25.94,344.9,8.66,16.47,
Bengaluru,15-01-2015,,,20.64,429,6.24,19.35,
Bengaluru,16-01-2015,,,18.51,186.94,19.28,16.02,
Bengaluru,17-01-2015,,,17.37,72.68,24.91,14.33,
Bengaluru,18-01-2015,,,17.2,51.73,22.18,22.48,
Bengaluru,19-01-2015,,,16.74,430.05,27.99,23.34,
Bengaluru,20-01-2015,,,7.24,445.16,92.66,103.68,
Bengaluru,21-01-2015,,,5.45,95.45,82.07,,
Bengaluru,22-01-2015,,,13.57,54.58,57.51,41.95,
Bengaluru,23-01-2015,,,12.82,410.12,27.33,17.78,
Bengaluru,24-01-2015,,,16.27,338.33,6.47,14.72,
Bengaluru,25-01-2015,,,16.32,300.27,3.32,16.27,
Bengaluru,26-01-2015,,,13.85,289.94,2.95,21.35,
Bengaluru,27-01-2015,,,16.71,398.19,3.09,27.37,
Bengaluru,28-01-2015,,,14.85,181.99,6.53,17.05,
Bengaluru,29-01-2015,,,10.45,225.1,3.03,18.78,
Bengaluru,30-01-2015,,,4.93,85.03,24.31,19.51,
Bengaluru,31-01-2015,,,11.11,304.76,29.18,23.21,
Bengaluru,01-02-2015,,,22.14,482.37,7.36,20.75,
Bengaluru,02-02-2015,,,19.19,177.73,6.14,19.75,
Bengaluru,03-02-2015,,,18.47,468.16,5.02,20.64,
Bengaluru,04-02-2015,,,22.46,378.14,4.46,18.62,
Bengaluru,05-02-2015,,,26.36,155.25,7.65,16.06,
Bengaluru,06-02-2015,,,25.98,348.28,3.12,13.76,
Bengaluru,07-02-2015,,,22.46,214.81,5.51,20.96,
Bengaluru,08-02-2015,,,26.06,105.04,7.25,22.81,
Bengaluru,09-02-2015,,,22.48,91.72,3.37,31.01,
Bengaluru,10-02-2015,,,20.18,57.75,1.04,39.86,
Bengaluru,11-02-2015,,,26.52,409.01,1.64,32.19,
Bengaluru,12-02-2015,,,21.47,448.18,12.98,44.15,
Bengaluru,13-02-2015,,,21.85,267.14,7.56,37.79,
Bengaluru,14-02-2015,,,26.05,283.97,5.18,31.76,
Bengaluru,15-02-2015,,,23.68,361.21,4.82,45.16,
Bengaluru,16-02-2015,,,24.41,365.41,3.84,49.3,
Bengaluru,17-02-2015,,,24.68,195.86,13.39,44.34,
Bengaluru,18-02-2015,,,23.38,121.63,17.62,28.85,
Bengaluru,19-02-2015,,,27.71,243.69,11.15,31.69,
Bengaluru,20-02-2015,,,22.83,363.66,12.52,33.43,
Bengaluru,21-02-2015,,,21.34,411.89,14.25,39.2,
Bengaluru,22-02-2015,,,24.09,90.12,13.11,54.18,
Bengaluru,23-02-2015,,,24.14,314.74,11.93,53.97,
Bengaluru,24-02-2015,,,28.8,74.34,5.76,40.55,
Bengaluru,25-02-2015,,,29.78,421.15,6.5,51.91,
Bengaluru,26-02-2015,,,31.32,350.06,7.13,65.41,
Bengaluru,27-02-2015,,,26.9,363.48,4,66.49,
Bengaluru,28-02-2015,,,19.57,392.77,2.82,62.61,
Bengaluru,01-03-2015,,,10.39,273.04,6.93,51.37,
Bengaluru,02-03-2015,,,18.06,184.5,6.72,58.97,
Bengaluru,03-03-2015,,,19.56,403.55,8.6,43.5,
Bengaluru,04-03-2015,,,17.36,399.82,5.99,61.8,
Bengaluru,05-03-2015,,,19.94,110.72,8.79,45.01,
Bengaluru,06-03-2015,,,15.04,456.24,16.03,31.55,
Bengaluru,07-03-2015,,,15.68,149.55,12.69,36.67,
Bengaluru,08-03-2015,,,11.59,187.91,11.89,45.87,
Bengaluru,09-03-2015,,,20.06,147.16,11.47,36.7,
Bengaluru,10-03-2015,,,26.12,484.52,3.17,41.81,
Bengaluru,11-03-2015,,,33.01,184.76,2.86,35.98,
Bengaluru,12-03-2015,,,25.29,487.13,1.67,37.65,
Bengaluru,13-03-2015,,,20.97,337.07,7.84,43.46,
Bengaluru,14-03-2015,,,20.58,129.45,19.64,49.53,
Bengaluru,15-03-2015,,,15.12,299.23,16.57,48.26,
Bengaluru,16-03-2015,,,18.67,447.02,30.13,47.74,
Bengaluru,17-03-2015,,,31.84,302.75,11.89,49.86,
Bengaluru,18-03-2015,,,34.01,109.67,3.76,49.27,
Bengaluru,19-03-2015,,,33.58,179.12,47.19,56.32,
Bengaluru,20-03-2015,30.65,,28.48,151.16,2.76,43.25,
Bengaluru,21-03-2015,48.59,,27,106.64,1.94,52.96,91
Bengaluru,22-03-2015,47.38,,22.39,197.28,2.05,71.85,120
Bengaluru,23-03-2015,65.65,,26.35,347.48,6.3,72.84,154
Bengaluru,24-03-2015,60.47,,29.87,222.13,6.07,64.12,119
Bengaluru,25-03-2015,62.56,,23.57,249.71,4.98,82.34,232
Bengaluru,26-03-2015,60.73,,32.07,194.3,1.67,67.21,132
Bengaluru,27-03-2015,42.1,,25.55,497.51,2.46,51.93,123
Bengaluru,28-03-2015,40,,17.99,313.79,2.5,44.65,152
Bengaluru,29-03-2015,32.16,,12.9,425.25,2.08,56.31,143
Bengaluru,30-03-2015,30.78,,16.23,248.6,2.63,49.52,80
